model-1588825064,1588825065.065,0.63,0.2445,0.53,0.2478
model-1588825064,1588825065.092,0.48,0.2508,0.53,0.2474
model-1588825064,1588825065.118,0.58,0.2454,0.55,0.2476
model-1588825064,1588825065.143,0.49,0.2493,0.56,0.2473
model-1588825064,1588825065.169,0.54,0.2487,0.53,0.2472
model-1588825064,1588825065.196,0.53,0.2493,0.53,0.248
model-1588825064,1588825065.223,0.56,0.247,0.49,0.248
model-1588825064,1588825065.251,0.61,0.2423,0.49,0.2493
model-1588825064,1588825065.279,0.46,0.2503,0.49,0.2492
model-1588825064,1588825065.31,0.48,0.2543,0.49,0.2483
model-1588825064,1588825065.337,0.67,0.2419,0.5,0.2488
model-1588825064,1588825065.365,0.52,0.2439,0.5,0.2497
model-1588825064,1588825065.389,0.46,0.2532,0.51,0.2478
model-1588825064,1588825065.416,0.52,0.2438,0.57,0.244
model-1588825064,1588825065.441,0.58,0.2456,0.54,0.2433
model-1588825064,1588825065.466,0.58,0.2446,0.54,0.2454
model-1588825064,1588825065.491,0.52,0.2478,0.54,0.246
model-1588825064,1588825065.518,0.62,0.2379,0.54,0.2458
model-1588825064,1588825065.543,0.53,0.2459,0.53,0.2447
model-1588825064,1588825065.567,0.52,0.2446,0.57,0.2434
model-1588825064,1588825065.592,0.58,0.2459,0.58,0.2426
model-1588825064,1588825065.619,0.61,0.2449,0.54,0.2439
model-1588825064,1588825065.643,0.54,0.2445,0.57,0.2445
model-1588825064,1588825065.669,0.58,0.2447,0.57,0.2446
model-1588825064,1588825065.694,0.56,0.2558,0.59,0.2427
model-1588825064,1588825065.723,0.57,0.2403,0.6,0.2421
model-1588825064,1588825065.749,0.58,0.2438,0.54,0.242
model-1588825064,1588825065.774,0.56,0.2443,0.56,0.2417
model-1588825064,1588825065.799,0.5,0.2474,0.56,0.2415
model-1588825064,1588825065.825,0.48,0.2538,0.54,0.2419
model-1588825064,1588825065.854,0.6,0.2407,0.57,0.2424
model-1588825064,1588825065.879,0.65,0.2369,0.58,0.2415
model-1588825064,1588825065.905,0.59,0.2379,0.57,0.24
model-1588825064,1588825065.931,0.56,0.2435,0.58,0.2396
model-1588825064,1588825065.958,0.49,0.2482,0.58,0.2389
model-1588825064,1588825065.983,0.57,0.2373,0.59,0.2384
model-1588825064,1588825066.008,0.57,0.2428,0.58,0.2381
model-1588825064,1588825066.035,0.61,0.2411,0.59,0.2381
model-1588825064,1588825066.06,0.56,0.24,0.6,0.2378
model-1588825064,1588825066.084,0.59,0.226,0.58,0.2388
model-1588825064,1588825066.109,0.51,0.2472,0.6,0.2402
model-1588825064,1588825066.136,0.61,0.2305,0.57,0.2408
model-1588825064,1588825066.161,0.57,0.2474,0.57,0.2393
model-1588825064,1588825066.185,0.51,0.2523,0.59,0.237
model-1588825064,1588825066.211,0.56,0.2407,0.57,0.2373
model-1588825064,1588825066.238,0.58,0.239,0.52,0.2445
model-1588825064,1588825066.263,0.6,0.2251,0.51,0.2519
model-1588825064,1588825066.292,0.46,0.2528,0.5,0.2508
model-1588825064,1588825066.317,0.61,0.2375,0.51,0.2476
model-1588825064,1588825066.344,0.54,0.2523,0.58,0.24
model-1588825064,1588825066.368,0.48,0.2494,0.57,0.2366
model-1588825064,1588825066.393,0.62,0.2329,0.59,0.2366
model-1588825064,1588825066.418,0.64,0.234,0.6,0.2377
model-1588825064,1588825066.444,0.65,0.2287,0.58,0.2388
model-1588825064,1588825066.469,0.6,0.2307,0.59,0.2395
model-1588825064,1588825066.495,0.5,0.2538,0.6,0.2417
model-1588825064,1588825066.519,0.61,0.2244,0.58,0.248
model-1588825064,1588825066.547,0.59,0.2419,0.54,0.2528
model-1588825064,1588825066.573,0.53,0.2418,0.54,0.2497
model-1588825064,1588825066.597,0.62,0.2294,0.61,0.2431
model-1588825064,1588825066.622,0.63,0.2272,0.63,0.2385
model-1588825064,1588825066.648,0.53,0.2417,0.59,0.2361
model-1588825064,1588825066.673,0.55,0.2436,0.55,0.2355
model-1588825064,1588825066.697,0.65,0.2315,0.57,0.2355
model-1588825064,1588825066.722,0.54,0.2467,0.59,0.2352
model-1588825064,1588825066.75,0.58,0.242,0.57,0.2356
model-1588825064,1588825066.774,0.61,0.2323,0.59,0.2357
model-1588825064,1588825066.799,0.54,0.2511,0.59,0.2358
model-1588825064,1588825066.823,0.63,0.2323,0.59,0.2361
model-1588825064,1588825066.85,0.54,0.2477,0.6,0.2364
model-1588825064,1588825066.879,0.61,0.2314,0.59,0.2365
model-1588825064,1588825066.903,0.67,0.2328,0.57,0.2357
model-1588825064,1588825066.928,0.58,0.2377,0.6,0.2357
model-1588825064,1588825066.955,0.61,0.2287,0.57,0.2367
model-1588825064,1588825066.979,0.59,0.2367,0.58,0.2366
model-1588825064,1588825067.004,0.72,0.2163,0.58,0.2369
model-1588825064,1588825067.029,0.59,0.2419,0.53,0.2367
model-1588825064,1588825067.056,0.65,0.2291,0.63,0.2376
model-1588825064,1588825067.081,0.6,0.2416,0.58,0.2365
model-1588825064,1588825067.105,0.58,0.2478,0.59,0.239
model-1588825064,1588825067.13,0.55,0.2457,0.55,0.2433
model-1588825064,1588825067.158,0.57,0.2369,0.55,0.2443
model-1588825064,1588825067.183,0.65,0.2245,0.55,0.2435
model-1588825064,1588825067.208,0.51,0.2567,0.57,0.2385
model-1588825064,1588825067.233,0.53,0.2529,0.58,0.2331
model-1588825064,1588825067.26,0.68,0.2115,0.63,0.2327
model-1588825064,1588825067.286,0.71,0.1984,0.6,0.2386
model-1588825064,1588825067.314,0.6,0.234,0.59,0.2423
model-1588825064,1588825067.339,0.58,0.2523,0.59,0.236
